StudyID,beta_in,alpha_in,omega_in,lik_in,beta_out,alpha_out,omega_out,lik_out
1,1.17195316716237,0.0588001022514033,0,-124.800208961744,0.498989153982925,3.32389493052195e-17,1,122.050164062044
2,0.558424862072041,0.0659500133040622,0.70729939201408,-124.247744648599,0.484315799877105,0.231243351135954,0,123.424607263765
3,5.09130075408738,0.614335587681282,0.956595701610584,-58.7584268414332,4.87385229740109,0.613502432223545,0.956938184137229,58.7100668807113
4,2.46827015553284,0.0145836548146265,0,-115.316198093891,2.03872668449634,0.060478377039709,0,113.958751053442
5,0.593809744507735,0.608330035466922,0.929039142302554,-125.781205927243,0.224639440554101,0.46948875396004,0.914230442786879,124.313913926371
6,16.0361784914577,0.169603066131742,0.634206526177144,-20.8819855637566,16.7251815748672,0.146714481736992,0.671228819227652,19.6822444639217
7,15.5929988463779,0.0151565231196954,0,-78.863202099856,17.7437140157563,0.012744150501408,0,78.8332219702111
8,11.9383666669124,0.285626781461128,0.556402458849261,-32.8711419017769,10.1190712109758,0.426984602627487,0.598622781020207,30.7760394196268
9,1.65202934901182,-1.11022302462516e-16,0.965861902204626,-105.77283124637,1.54943679295889,0,0.958096038524661,105.634993869427
10,1.57354962693517,1,0.534654441081299,-112.792354696405,1.12522218286755,1,0,110.186333085273
11,0.453734024337455,0.29362734027859,0.78226056549639,-125.447781720042,3.87937051827411,0.00969737350312528,0.353842116476814,120.049238385794
12,0.453734024337455,0.0272997687752626,0.898123510385766,-125.183630683626,0.386759171705323,0.0311606138309468,0.548014507332267,124.479363244764
13,2.14870827334434,0.545170595010858,0.127463705794184,-97.8656039424452,2.52693319838285,0.408683885820612,0.755812077864939,95.8403952909253
14,11.5254308475991,0.584038447556871,0.930558339619993,-25.0804195719809,10.2853780676406,0.571067883666171,0.934717189033896,24.7120134795687
15,7.77134744032292,0.545170595010858,0,-43.8317030393348,6.94302786229441,0.45453602067499,0,42.4606602026503
16,10.5389325048878,0.346706460745491,0.0363606207447442,-21.0730087249541,12.1538910964912,0.365900214540539,0,20.5776783436835
17,0.558424862072041,0.247653599582539,0.89530369085189,-120.611395641695,1.02917585725637,0.381639010190349,0.836794759881372,118.91107616208
18,5.60177189009831,0.151513345724923,0.933777912671799,-59.1199755627296,6.01708653185867,0.151464066414519,0.940593823536691,58.8133076432018
19,0.693148225352929,0.650665896340342,0,-119.761754870798,1.41893558062991,0.109810006895268,0,119.189177480162
20,4.57574910611841,0.0802637905701961,0.853468487870818,-87.7662891000688,5.5169739629245,0.0663240929905929,0.908374165376321,83.991522610834
21,7.22760832397212,1,0.960772578379766,-51.0815541930471,30,1,0.941703652665436,47.1368435776591
22,2.79379565988618,0.275436253564101,0.933620203234658,-102.842623474642,2.78289402882582,0.169179677564535,0.933108237531677,101.414002784392
23,0.322689475805191,0.127577302567444,0.327336780022139,-125.767642225983,0.268242849382376,0,1,123.964105117059
24,7.68562577459517,0.0138588152584136,3.3344424756046e-18,-92.3303514743051,8.66625421336673,0.0107954049467114,0,92.0903819535399
25,0.558424862072041,0.0478555223925678,0.884773418720439,-123.849667205176,0.466038297837905,0,0.970535159021906,122.490748842379
26,25.410195328289,0.460253035560377,0,-14.1573419962863,30,0.517259260975184,0.0403474402107094,13.0739286199011
27,0.564034775270056,0.169603066131742,0.576519491760973,-122.237051581531,0.544963065712226,1,0.918575337277835,121.111626067171
28,0.226114589143274,0,0.269095194762945,-124.78425498732,0.172756776918653,1,0,124.356695250638
29,0.179297633518947,0.395939577311826,0,-124.249042248486,1.59540767236368,0,0,121.287173098342
30,2.07944261593071,0.269753958227487,0.898123510385766,-98.3965091228469,3.8620253161459,0.13967522544076,0.445262781211081,96.4209898107234
31,5.09130075408738,0,0.970332884194861,-80.1520164759758,3.46772832872253,0.0377145878372304,0.990922551013344,78.2343399465258
32,3.07006558022619,0,0,-121.27339297294,1.96164706972871,0,5.2015036952866e-7,120.049931761653
33,1.67202214994072,0.247653599582539,0.606991792913742,-99.9576686765562,2.22433756340154,0.321591931750371,0.407391579138719,97.6063055091881
34,1.07697047934196,0,0.765946698641327,-118.294894220221,1.91881597527223,0,0.599316513813491,116.843744459523
35,5.09130075408738,0.0272997687752626,0,-107.163369849648,4.65719205339119,0.0130909655129705,0.184914704796602,105.975342375977
36,2.83560402256218,0.00664997426343054,0,-111.529639331827,3.51761655579861,0.0164750059207768,0.313578230726911,109.545308274096
37,1.78177734263256,0,0,-120.976595468945,3.17342537776083,0.0137765685735346,0.336746301983147,119.185275596161
38,3.59462943682929,0.196901122409938,0.971070108383124,-81.4316142632653,3.6416780158205,0.225906077030417,0.977911403005897,80.5466351163125
39,1.90684233020933,0.024928746159965,0,-122.666821587667,1.89097121890505,6.341710169679e-4,0.49895405510148,120.962457548432
40,0.558424862072041,0.0272997687752626,0,-124.564954593509,1.21888202768101,0.0369219311979831,0.824886024260751,123.058062950433
41,1.57354962693517,0.140353472008435,0,-118.855661392063,1.51531603710585,0.127542039949145,0.623092765926793,118.201369338976
42,1.03819344846522,0.584038447556871,0.628049051874576,-113.843242439716,1.0568065242420699,0.655400337835534,0,113.611247829932
43,0.360005819025042,0.0965494015387263,0.638678675624091,-125.616300986654,9.999999992516e-7,0,0,124.766494500792
44,10.5389325048878,0.0659500133040622,0.117165055237245,-73.3780300683152,9.92771849723628,0.0767116730987341,0.0612254609116047,72.5860529732565
45,4.09038771180516,0,0.943709865974538,-81.8015518732962,4.52261537843388,0,0.969972796816324,80.3778284669531
46,0.782046828261245,0.682166792254352,0,-117.759918394639,0.79916681060935,1,0.18506159367486,116.672737073275
47,0.848756125948044,0.0676536297027446,0,-122.534598168004,2.4873811425819,0.0298151513299285,0.335807586639905,121.767479655571
48,2.28624994651248,0.0865083321744032,0.956595701610584,-108.733589342026,3.28532286956851,0.0324477987682983,0.892120116475542,106.448235384009
49,0.886423177308549,0,0.81918065629392,-121.124269092362,2.07037970522897,0,0.697446065751515,119.949763136623
50,2.08735981801415,0.129388927657513,0.933777912671799,-108.556418564245,1.97118844589235,0.110341124519959,0.944095365384028,108.144964306586
51,7.22760832397212,0.130277660706728,0,-67.7285428114762,6.67217207476229,0.136311290746633,0.233358165286496,67.4016034344647
52,11.9383666669124,0.0442894535177834,0,-66.3353136207721,13.7007082036666,0.0376269283932895,0.153990510401418,64.0044209614308
53,3.59462943682929,1,0,-66.9009215386589,4.04054847647192,1,0,66.7017628513791
54,1.00000000102796e-6,0.481523391359974,0.89530369085189,-124.766489848019,0.274187794331244,1,0.712764291891868,123.709234797939
55,1.81791472012802,0.269753958227487,0.146485928460247,-112.22913469748,1.69779027662643,0.328778776036679,0.66117371371271,111.92899053712
56,13.8607375770365,0.063457730999395,0.576519491760973,-42.2665425443172,12.8959147506222,0.0690863891610956,0.611104622179836,42.1224542763931
57,2.79379565988618,0.151513345724923,0,-114.043972198103,1.80534559366991,0.173617840762043,0.232778349731381,111.663818183216
58,4.5988829351594,1,0.15383721481044,-72.5443387006303,3.44843105768293,1,0.554199910642358,70.969309979199
59,0.838590249802166,0.377018504878985,0,-119.966533677911,0.872438403321557,0.440676964697569,0.817618635477463,119.213864008735
60,5.21141627222859,0.0826164435652323,0.996551381427463,-63.9720680927869,21.068747512596,6.38734493535266e-14,1,62.3832463141042
61,9.99999997475243e-7,0,0,-124.766490500792,1.00000000002876e-6,0,0.948486535597991,124.766492814708
62,2.13198242727736,0.275436253564101,0,-93.2092770768084,2.72705180224944,0.307718345241884,0,91.6797700594682
63,2.44047916181679,0.362545142515908,0.884773418720439,-92.2707597140982,2.26178514614559,0.481591692089244,0.926164539311841,91.7887204486628
64,3.07006558022619,0.130852813794895,0.912582017013369,-104.53299506238,2.53664812490607,0.153168983349569,0.920262023286225,103.879396327584
65,2.08735981801415,0,0.965861902204626,-100.920995580157,1.99193904694236,0.00722095741431723,0.964983492921113,100.646837383025
66,1.10320091341662,0.120807249423442,0.0911834550073213,-120.813815005518,1.30156076899098,0.083745381208613,0,120.712955142224
67,15.5929988463779,0.13698754874294,0.586305080595143,-19.8296892595884,21.086236802355,0.115493762975231,0.578783430645747,18.3747589605675
68,9.999999992516e-7,0.127577302567444,0,-124.766492379078,0.216515839915875,1,0,124.172217256306
69,10.0783101252743,0.0588001022514033,0.996551381427463,-71.4048385223438,8.92977237208951,0.00156175676645795,0.945901348174078,66.9966953218085
70,0.167209125757794,0.269753958227487,3.3344424756046e-18,-124.209620703579,2.00977444670365,0.0380355404768,0.522311012942442,121.573369160577
71,3.860059693127,0.614335587681282,0.759283017441452,-77.371946203602,2.90010841812057,0.709876321034513,0.774605792452025,75.1425593729137
72,2.44047916181679,0.0965494015387263,0,-112.127505517477,1.85505927404671,0.138228853663251,0,111.760418109377
73,2.64816285771491,0.0825376407650347,0.721317130910803,-103.919595210384,2.81577932804809,0.106341084586309,0.744345287617197,103.283367814115
74,5.60177189009831,0.0178182041365914,0.996551381427463,-72.2349114711365,5.41523658204348,0.0888469449178686,0.991130543437463,70.0251696561011
75,1.62756063830559,0.584038447556871,0.628049051874576,-102.098530764055,1.84232908155474,0.629625339115154,0.907395446836967,101.284033818238
76,2.28624994651248,0.0639428925416023,0.933777912671799,-117.940438595152,1.41714782826156,0.271654139557601,0.972301664931673,113.001695119074
77,0.593809744507735,0.762037786465489,0.634206526177144,-119.824139879905,0.79405549214115,1,0,117.607081533158
78,2.14870827334434,0.13698754874294,0.853468487870818,-116.682780347673,1.79251195397407,0.131059137409771,0.899344957871857,116.131359798731
79,4.15537661458692,0.0899195141649809,0.297808242758139,-97.6912687506371,5.70801831368817,0.0597108244241577,0.154584494417336,95.3787205006463
80,1.07697047934196,0.0935331310081853,0,-122.99318260359,0.764663589255592,0.113035271150487,0.898051684603291,122.005672988956
81,3.80053159263746,0.479433857000286,0,-59.1162027075275,4.69218861477405,0.495329203560192,0.126944833247339,57.9011975738679
82,0.244297273181377,0.010258034085576,0,-124.091059108692,1.52053548101072,0,0.314764585780647,121.372552924801
83,7.99996318118482,0,0.933620203234658,-57.8167484530905,10.9153372773787,0,0.946203201522921,57.150578222466
84,11.5254308475991,0.269753958227487,0.926015494337709,-20.1155539252112,18.8779299519669,0.261091667636614,0.929048018771985,18.1835070221195
85,9.999999992516e-7,0,0.117165055237245,-124.766493396874,0.141468935360052,0.540802209885705,0.276831073425403,124.61052268026
86,9.999999992516e-7,1,0,-124.766484250804,0.911327875667297,0.0803353972673054,0.865184804377372,121.5510292601
87,3.06065886268363,0,0.971070108383124,-77.344694292159,4.12505303680483,0,0.980449514639084,74.8224929813554
88,3.80053159263746,0.346706460745491,0.576519491760973,-72.6918635646306,3.70583106213081,0.345184585429428,0.646686332401077,72.5667300839103
89,2.53733281829925,0.133364765301503,0.926906027865065,-105.102832791576,2.77246703926844,0.118645366807408,0.925911795664537,104.991852462248
90,1.1568039867868,0.0935331310081853,0.0270622060804452,-122.157808504651,9.99999999917733e-7,0.017174651739958,0,124.766492747662
91,11.9383666669124,0.0639428925416023,0.853468487870818,-47.6419335497205,15.5709823987254,0.049354623763079,0.760845002132192,45.8380362922129
92,3.01717777119449,0.0676536297027446,0.297808242758139,-119.551262050156,2.44514688618129,0.0561611965669167,0.261707962499727,118.4394546056
93,1.75728305898023,0.0272997687752626,0,-116.164662535643,2.03816203838087,0.0527009749019011,0,114.943180245244
94,7.99996318118482,0.075396420353653,0.0363606207447442,-66.2476643047004,6.66365386564191,0.0805253884485961,0.096028201327054,65.5786976908639
95,15.5978055571829,0.362545142515908,0.988900682922687,-34.0831742099758,13.3710578118357,0.509091182478527,0.990810002183422,33.2451148047593
96,3.3577431477804,1,0.926015494337709,-67.6166576661276,4.09570749027002,1,0.917446163455124,66.9257225730352
97,0.167209125757794,0.151513345724923,0.918645761154431,-124.138849886128,1.00000000013978e-6,0,0,124.766493500792
98,1.0720975168364,0.127577302567444,0.628049051874576,-120.102335556195,1.71467514259761,0.034439209445548,0.0801799013597141,119.152737247514
99,5.17267452316178,0,0.628049051874576,-103.655171564415,4.66055064105998,0,0.487767480397395,100.589574111396
100,1.00000000102796e-6,0.888025798458266,0,-124.766506086899,9.999999992516e-7,0,1,124.766493500802
101,9.99999997475243e-7,1,0,-124.766499000804,0.902173780160422,0,0.855586741061436,122.423879478228
102,1.67202214994072,0.0178182041365914,0.117165055237245,-121.073227817505,1.56627466241334,0.0155419156461703,0,120.912036154196
103,0.453734024337455,0.0675499069827501,0.431579880979839,-125.007903396211,0.277007026646315,0.0795951292517432,0.964493430307455,124.267373237307
104,3.11984181834558,0.377018504878985,1,-72.512434018015,4.29154125650908,0.163429762966666,0.995294058258263,70.8137613524771
105,3.07006558022619,0.377711395366096,0,-80.6509623066142,3.54894159644437,0.286276588104604,0,80.2145774472388
106,1.65202934901182,0,0.0717404710267232,-118.908472178162,2.32218049147467,0.00446943017852653,0,118.361393889143
107,4.93020071196116,0.584038447556871,0.899428709321034,-47.363204514316,5.79184059088419,0.571579800887552,0.787505673114768,45.4041908833803
108,5.17267452316178,0.063457730999395,0.606991792913742,-96.5027574896168,4.38973665273708,0.0536962165653414,0.516936709338728,94.9195458380888
109,0.360005819025042,0.0138588152584136,0.944810990491471,-123.999910489709,2.03018774763629,0.0233637575315943,0.567586558515578,121.353396925792
110,5.60177189009831,0,0,-110.86765698387,4.10823372687616,0,0,109.846266687434
111,1.21357200653909,0.0825376407650347,0.965861902204626,-120.273386069357,1.57405504083519,0.040521039178015,0.80292782306876,119.108201823184
112,7.93662820915703,1,0,-50.821694660883,30,1,0.627663902610049,49.9225863273019
113,9.999999992516e-7,0.0802637905701961,0,-124.766493002461,0.503282158565194,0,0,124.390264984193
114,7.93662820915703,0.063457730999395,0,-78.5121217978586,7.05138263980341,0.0817466365574024,0,77.3912105324693
115,7.68562577459517,0,0.922340564460254,-47.7489906463667,8.82312704691842,7.7027562826295e-4,0.902780027632106,47.3849472735849
116,0.453734024337455,0,0,-125.981949635798,1.00000000013978e-6,0,0,124.766494500792
117,1.262981101892,0.120807249423442,0.926015494337709,-116.955874197849,1.40357489274572,0.175168361602268,0.933868755603806,116.591203765533
118,3.66521293710061,0.0802637905701961,0.912582017013369,-96.8033244577289,3.36481061292512,0.130033734085338,0.944324453562394,95.493713764992
119,3.01717777119449,0.0865083321744032,0.351616276178232,-108.738633297058,3.65052701276666,0.0570403707204643,0,106.834043388567
120,9.99999997475243e-7,-1.11022302462516e-16,3.3344424756046e-18,-124.766489500792,1.40788628724221,0.0266482681768267,0.0519749584526937,122.285065103383
121,0.564034775270056,0.244090124928855,0,-123.181655936035,0.702103072954747,0.18607218991159,0.87313821988709,122.705159798098
